"prov_code","prov_namt","prov_name"
"10","กรุงเทพมหานคร","BANGKOK"
"11","สมุทรปราการ","SAMUT PRAKAN"
"12","นนทบุรี","NONTHABURI"
"13","ปทุมธานี","PATHUM THANI"
"14","พระนครศรีอยุธยา","PHRA NAKHON SI AYUTTHAYA"
"15","อ่างทอง","ANG THONG"
"16","ลพบุรี","LOP BURI"
"17","สิงห์บุรี","SING BURI"
"18","ชัยนาท","CHAI NAT"
"19","สระบุรี","SARABURI"
"20","ชลบุรี","CHON BURI"
"21","ระยอง","RAYONG"
"22","จันทบุรี","CHANTHABURI"
"23","ตราด","TRAT"
"24","ฉะเชิงเทรา","CHACHOENGSAO"
"25","ปราจีนบุรี","PRACHIN BURI"
"26","นครนายก","NAKHON NAYOK"
"27","สระแก้ว","SA KAEO"
"30","นครราชสีมา","NAKHON RATCHASIMA"
"31","บุรีรัมย์","BURI RAM"
"32","สุรินทร์","SURIN"
"33","ศรีสะเกษ","SI SA KET"
"34","อุบลราชธานี","UBON RATCHATHANI"
"35","ยโสธร","YASOTHON"
"36","ชัยภูมิ","CHAIYAPHUM"
"37","อำนาจเจริญ","AMNAT CHAROEN"
"38","บึงกาฬ","BUENG KAN"
"39","หนองบัวลำภู","NONG BUA LAMPHU"
"40","ขอนแก่น","KHON KAEN"
"41","อุดรธานี","UDON THANI"
"42","เลย","LOEI"
"43","หนองคาย","NONG KHAI"
"44","มหาสารคาม","MAHA SARAKHAM"
"45","ร้อยเอ็ด","ROI ET"
"46","กาฬสินธุ์","KALASIN"
"47","สกลนคร","SAKON NAKHON"
"48","นครพนม","NAKHON PHANOM"
"49","มุกดาหาร","MUKDAHAN"
"50","เชียงใหม่","CHIANG MAI"
"51","ลำพูน","LAMPHUN"
"52","ลำปาง","LAMPANG"
"53","อุตรดิตถ์","UTTARADIT"
"54","แพร่","PHRAE"
"55","น่าน","NAN"
"56","พะเยา","PHAYAO"
"57","เชียงราย","CHIANG RAI"
"58","แม่ฮ่องสอน","MAE HONG SON"
"60","นครสวรรค์","NAKHON SAWAN"
"61","อุทัยธานี","UTHAI THANI"
"62","กำแพงเพชร","KAMPHAENG PHET"
"63","ตาก","TAK"
"64","สุโขทัย","SUKHOTHAI"
"65","พิษณุโลก","PHITSANULOK"
"66","พิจิตร","PHICHIT"
"67","เพชรบูรณ์","PHETCHABUN"
"70","ราชบุรี","RATCHABURI"
"71","กาญจนบุรี","KANCHANABURI"
"72","สุพรรณบุรี","SUPHAN BURI"
"73","นครปฐม","NAKHON PATHOM"
"74","สมุทรสาคร","SAMUT SAKHON"
"75","สมุทรสงคราม","SAMUT SONGKHRAM"
"76","เพชรบุรี","PHETCHABURI"
"77","ประจวบคีรีขันธ์","PRACHUAP KHIRI KHAN"
"80","นครศรีธรรมราช","NAKHON SI THAMMARAT"
"81","กระบี่","KRABI"
"82","พังงา","PHANGNGA"
"83","ภูเก็ต","PHUKET"
"84","สุราษฎร์ธานี","SURAT THANI"
"85","ระนอง","RANONG"
"86","ชุมพร","CHUMPHON"
"90","สงขลา","SONGKHLA"
"91","สตูล","SATUN"
"92","ตรัง","TRANG"
"93","พัทลุง","PHATTHALUNG"
"94","ปัตตานี","PATTANI"
"95","ยะลา","YALA"
"96","นราธิวาส","NARATHIWAT"
